"Server","Проект / сервис","Владелец","Чат / группа (reddy)"
"sc-ams99-x-prod-cmsapi-mongo-2","CMS","нет инфо! Павел Кузнецов / Евгений Юркин / Артур Ким","Вопросы по MongoDB"
"sc-ams99-x-prod-cmsapi-mongo-3","CMS","нет инфо! Павел Кузнецов / Евгений Юркин / Артур Ким","Вопросы по MongoDB"
"sc-lux99-x-test-mcms-mongo-1","CMS","нет инфо! Павел Кузнецов / Евгений Юркин / Артур Ким","Вопросы по MongoDB"
"sc-lux99-x-test-mcms-mongo-2","CMS","нет инфо! Павел Кузнецов / Евгений Юркин / Артур Ким","Вопросы по MongoDB"
"sc-lux99-x-test-mcms-mongo-3","CMS","нет инфо! Павел Кузнецов / Евгений Юркин / Артур Ким","Вопросы по MongoDB"
"sc-ams99-x-prod-dbaggregator-mongo-1","DBAggregator","Солдаткин Юрий/Курбатов Алексей","Вопросы по MongoDB"
"sc-ams99-x-prod-dbaggregator-mongo-2","DBAggregator","Солдаткин Юрий/Курбатов Алексей","Вопросы по MongoDB"
"sc-ams99-x-prod-dbaggregator-mongo-3","DBAggregator","Солдаткин Юрий/Курбатов Алексей","Вопросы по MongoDB"
"sc-lux99-x-test-dbaggregator-mongo-1","DBAggregator","Солдаткин Юрий/Курбатов Алексей","Вопросы по MongoDB"
"sc-lux99-x-test-dbaggregator-mongo-2","DBAggregator","Солдаткин Юрий/Курбатов Алексей","Вопросы по MongoDB"
"sc-lux99-x-test-dbaggregator-mongo-3","DBAggregator","Солдаткин Юрий/Курбатов Алексей","Вопросы по MongoDB"
"sc-ams99-x-prod-mcoins-mongo-1","SocialBookmaker / WebAdminka","Тимченко Александр / Федчук Сергей","Вопросы по MongoDB"
"sc-ams99-x-prod-mcoins-mongo-2","SocialBookmaker / WebAdminka","Тимченко Александр / Федчук Сергей","Вопросы по MongoDB"
"sc-ams99-x-prod-mcoins-mongo-3","SocialBookmaker / WebAdminka","Тимченко Александр / Федчук Сергей","Вопросы по MongoDB"
"sc-ams99-x-prod-mdocker-mongo-1","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-mdocker-mongo-2","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-mdocker-mongo-3","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-lux99-x-test-mdocker-mongo-1","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-lux99-x-test-mdocker-mongo-2","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-lux99-x-test-mdocker-mongo-3","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-mlbet-mongo-1","MlBet","Сабиров Сергей","Вопросы по MongoDB"
"sc-ams99-x-prod-mlbet-mongo-2","MlBet","Сабиров Сергей","Вопросы по MongoDB"
"sc-ams99-x-prod-mlbet-mongo-3","MlBet","Сабиров Сергей","Вопросы по MongoDB"
"sc-lux99-x-test-mlbet-mongo-1","MlBet","Сабиров Сергей","Вопросы по MongoDB"
"sc-lux99-x-test-mlbet-mongo-2","MlBet","Сабиров Сергей","Вопросы по MongoDB"
"sc-lux99-x-test-mlbet-mongo-3","MlBet","Сабиров Сергей","Вопросы по MongoDB"
"sc-ams99-x-prod-ovb-mongo-1","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-ovb-mongo-2","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-ovb-mongo-3","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-lux99-x-test-loqos-mongo-1","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-lux99-x-test-loqos-mongo-2","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-lux99-x-test-loqos-mongo-3","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-pay-mongo-1","1xPay"," нет инфо! Егор Коробов ? ","Вопросы по MongoDB"
"sc-ams99-x-prod-pay-mongo-2","1xPay"," нет инфо! Егор Коробов ? ","Вопросы по MongoDB"
"sc-ams99-x-prod-pay-mongo-3","1xPay"," нет инфо! Егор Коробов ? ","Вопросы по MongoDB"
"sc-lux99-x-test-pay-mongo-1","1xPay"," нет инфо! Егор Коробов ? ","Вопросы по MongoDB"
"sc-lux99-x-test-pay-mongo-2","1xPay"," нет инфо! Егор Коробов ? ","Вопросы по MongoDB"
"sc-lux99-x-test-pay-mongo-3","1xPay"," нет инфо! Егор Коробов ? ","Вопросы по MongoDB"
"sc-ams99-x-prod-seo-mongo-1","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-seo-mongo-2","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-seo-mongo-3","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-ytmetrics-mongo-1","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-ytmetrics-mongo-2","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-ytmetrics-mongo-3","разное частное","нет инфо!","Вопросы по MongoDB"
"sc-ams99-x-prod-backsec-mongo-1","Back Office","Дмитрий Зарубин","Вопросы по MongoDB"
"sc-ams99-x-prod-backsec-mongo-2","Back Office","Дмитрий Зарубин","Вопросы по MongoDB"
"sc-ams99-x-prod-backsec-mongo-3","Back Office","Дмитрий Зарубин","Вопросы по MongoDB"
"sc-lux99-x-test-backsec-mongo-1","Back Office","Дмитрий Зарубин","Вопросы по MongoDB"
"sc-lux99-x-test-backsec-mongo-2","Back Office","Дмитрий Зарубин","Вопросы по MongoDB"
"sc-lux99-x-test-backsec-mongo-3","Back Office","Дмитрий Зарубин","Вопросы по MongoDB"
"","","",""
